,id_10_8_RGB_mock_frame_00_00_11.png,id_10_8_RGB_mock_frame_00_00_11.png,id_11_8_RGB_mock_frame_00_00_11.png,id_11_8_RGB_mock_frame_00_00_11.png,id_12_8_RGB_mock_frame_00_00_11.png,id_12_8_RGB_mock_frame_00_00_11.png,id_13_8_RGB_mock_frame_00_00_11.png,id_13_8_RGB_mock_frame_00_00_11.png,id_14_8_RGB_mock_frame_00_00_11.png,id_14_8_RGB_mock_frame_00_00_11.png,id_15_8_RGB_mock_frame_00_00_11.png,id_15_8_RGB_mock_frame_00_00_11.png,id_1_8_RGB_mock_frame_00_00_11.png,id_1_8_RGB_mock_frame_00_00_11.png,id_2_8_RGB_mock_frame_00_00_11.png,id_2_8_RGB_mock_frame_00_00_11.png,id_3_8_RGB_mock_frame_00_00_11.png,id_3_8_RGB_mock_frame_00_00_11.png,id_46_12_RGB_mock_frame_00_00_11.png,id_46_12_RGB_mock_frame_00_00_11.png,id_47_12_RGB_mock_frame_00_00_11.png,id_47_12_RGB_mock_frame_00_00_11.png,id_48_12_RGB_mock_frame_00_00_11.png,id_48_12_RGB_mock_frame_00_00_11.png,id_49_12_RGB_mock_frame_00_00_11.png,id_49_12_RGB_mock_frame_00_00_11.png,id_4_8_RGB_mock_frame_00_00_11.png,id_4_8_RGB_mock_frame_00_00_11.png,id_50_12_RGB_mock_frame_00_00_11.png,id_50_12_RGB_mock_frame_00_00_11.png,id_51_12_RGB_mock_frame_00_00_11.png,id_51_12_RGB_mock_frame_00_00_11.png,id_52_12_RGB_mock_frame_00_00_11.png,id_52_12_RGB_mock_frame_00_00_11.png,id_53_12_RGB_mock_frame_00_00_11.png,id_53_12_RGB_mock_frame_00_00_11.png,id_54_12_RGB_mock_frame_00_00_11.png,id_54_12_RGB_mock_frame_00_00_11.png,id_55_12_RGB_mock_frame_00_00_11.png,id_55_12_RGB_mock_frame_00_00_11.png,id_56_12_RGB_mock_frame_00_00_11.png,id_56_12_RGB_mock_frame_00_00_11.png,id_57_12_RGB_mock_frame_00_00_11.png,id_57_12_RGB_mock_frame_00_00_11.png,id_58_12_RGB_mock_frame_00_00_11.png,id_58_12_RGB_mock_frame_00_00_11.png,id_59_12_RGB_mock_frame_00_00_11.png,id_59_12_RGB_mock_frame_00_00_11.png,id_5_8_RGB_mock_frame_00_00_11.png,id_5_8_RGB_mock_frame_00_00_11.png,id_60_12_RGB_mock_frame_00_00_11.png,id_60_12_RGB_mock_frame_00_00_11.png,id_6_8_RGB_mock_frame_00_00_11.png,id_6_8_RGB_mock_frame_00_00_11.png,id_7_8_RGB_mock_frame_00_00_11.png,id_7_8_RGB_mock_frame_00_00_11.png,id_8_8_RGB_mock_frame_00_00_11.png,id_8_8_RGB_mock_frame_00_00_11.png,id_9_8_RGB_mock_frame_00_00_11.png,id_9_8_RGB_mock_frame_00_00_11.png
id_10_8_RGB_mock_frame_00_00_01.png,0.2673732,0.2673732,0.69347966,0.69347966,0.61674714,0.61674714,0.70021665,0.70021665,0.7053021,0.70530206,0.5502143,0.5502143,0.7706678,0.7706678,0.6723569,0.6723569,0.6247879,0.62478787,0.77988905,0.77988905,0.82822996,0.82822996,0.7469194,0.7469194,0.6304103,0.6304103,0.6462419,0.6462419,0.7414793,0.7414793,0.80586934,0.80586934,0.81789154,0.81789154,0.7437484,0.74374837,0.80297565,0.80297565,0.6049825,0.6049825,0.8213759,0.8213759,0.70020515,0.70020515,0.708703,0.708703,0.8367095,0.8367095,0.70388,0.70388,0.7941915,0.7941915,0.76392126,0.76392126,0.71652436,0.71652436,0.6001017,0.6001017,0.7051371,0.7051371
id_10_8_RGB_mock_frame_00_00_01.png,0.2673732,0.2673732,0.69347966,0.69347966,0.61674714,0.61674714,0.70021665,0.70021665,0.7053021,0.70530206,0.5502143,0.5502143,0.7706678,0.7706678,0.6723569,0.6723569,0.6247879,0.62478787,0.77988905,0.77988905,0.82822996,0.82822996,0.7469194,0.7469194,0.6304103,0.6304103,0.6462419,0.6462419,0.7414793,0.7414793,0.80586934,0.80586934,0.81789154,0.81789154,0.7437484,0.74374837,0.80297565,0.80297565,0.6049825,0.6049825,0.8213759,0.8213759,0.70020515,0.70020515,0.708703,0.708703,0.8367095,0.8367095,0.70388,0.70388,0.7941915,0.7941915,0.76392126,0.76392126,0.71652436,0.71652436,0.6001017,0.6001017,0.7051371,0.7051371
id_11_8_RGB_mock_frame_00_00_01.png,0.74832284,0.74832284,0.16673386,0.16673386,0.69259214,0.69259214,0.66178155,0.66178155,0.54068184,0.54068184,0.551279,0.551279,0.5344579,0.5344579,0.7879479,0.7879479,0.66070426,0.66070426,0.62880826,0.62880826,0.52619743,0.52619743,0.7948009,0.7948009,0.84687227,0.84687227,0.7625715,0.7625715,0.78930473,0.78930473,0.69399476,0.69399476,0.5262286,0.5262286,0.7331064,0.7331064,0.7927747,0.7927747,0.75644624,0.75644624,0.6706232,0.6706232,0.7620982,0.7620982,0.71626246,0.71626246,0.7261871,0.7261871,0.64856106,0.64856106,0.7233335,0.7233335,0.6752108,0.6752108,0.60913455,0.60913455,0.595873,0.595873,0.6338229,0.6338229
id_11_8_RGB_mock_frame_00_00_01.png,0.74832284,0.74832284,0.16673386,0.16673386,0.69259214,0.69259214,0.66178155,0.66178155,0.54068184,0.54068184,0.551279,0.551279,0.5344579,0.5344579,0.7879479,0.7879479,0.66070426,0.66070426,0.62880826,0.62880826,0.52619743,0.52619743,0.7948009,0.7948009,0.84687227,0.84687227,0.7625715,0.7625715,0.78930473,0.78930473,0.69399476,0.69399476,0.5262286,0.5262286,0.7331064,0.7331064,0.7927747,0.7927747,0.75644624,0.75644624,0.6706232,0.6706232,0.7620982,0.7620982,0.71626246,0.71626246,0.7261871,0.7261871,0.64856106,0.64856106,0.7233335,0.7233335,0.6752108,0.6752108,0.60913455,0.60913455,0.595873,0.595873,0.6338229,0.6338229
id_12_8_RGB_mock_frame_00_00_01.png,0.75849146,0.75849146,0.63830703,0.63830703,0.1699897,0.1699897,0.52123487,0.52123487,0.63377506,0.63377506,0.6237544,0.6237544,0.71688396,0.71688396,0.5254097,0.5254097,0.6621327,0.6621327,0.6510958,0.6510958,0.7455839,0.7455839,0.76192987,0.76192987,0.7020668,0.7020668,0.6302668,0.6302668,0.55873984,0.55873984,0.6326122,0.6326122,0.74142486,0.74142486,0.61063784,0.61063784,0.6678805,0.6678805,0.6120866,0.6120866,0.7165383,0.7165383,0.6866469,0.6866469,0.5599654,0.5599654,0.6871638,0.6871638,0.6367639,0.6367639,0.68983585,0.68983585,0.6989515,0.6989515,0.6797892,0.6797892,0.74564064,0.74564064,0.60950506,0.60950506
id_12_8_RGB_mock_frame_00_00_01.png,0.75849146,0.75849146,0.638307,0.638307,0.16998976,0.16998976,0.52123487,0.52123487,0.63377506,0.633775,0.6237544,0.6237544,0.71688396,0.71688396,0.52540964,0.52540964,0.66213274,0.6621327,0.6510958,0.6510958,0.7455839,0.7455839,0.7619299,0.7619299,0.7020668,0.7020668,0.6302668,0.6302668,0.5587399,0.5587399,0.6326122,0.6326122,0.74142486,0.74142486,0.61063784,0.61063784,0.6678804,0.6678804,0.61208653,0.61208653,0.71653825,0.71653825,0.6866468,0.6866468,0.5599653,0.5599653,0.68716383,0.68716383,0.63676393,0.63676393,0.68983585,0.68983585,0.6989515,0.6989515,0.67978925,0.67978925,0.7456406,0.7456406,0.609505,0.609505
id_13_8_RGB_mock_frame_00_00_01.png,0.71697664,0.71697664,0.6768194,0.6768194,0.64389306,0.64389306,0.18757468,0.18757468,0.5088697,0.5088697,0.6706877,0.6706877,0.5289719,0.5289719,0.5694374,0.5694374,0.77833784,0.7783378,0.48267734,0.48267734,0.5899239,0.5899239,0.9212988,0.9212988,0.8872848,0.8872848,0.7575661,0.7575661,0.73118204,0.73118204,0.7125541,0.7125541,0.66409653,0.66409653,0.7588277,0.7588277,0.87056845,0.87056845,0.6579474,0.6579474,0.7000898,0.7000898,0.8498564,0.8498564,0.6752919,0.6752919,0.6354017,0.6354017,0.48363227,0.48363227,0.77420676,0.77420676,0.5031959,0.5031959,0.7815848,0.7815848,0.70663655,0.70663655,0.50012374,0.50012374
id_13_8_RGB_mock_frame_00_00_01.png,0.71697664,0.71697664,0.6768194,0.6768194,0.64389306,0.64389306,0.18757468,0.18757468,0.5088697,0.5088697,0.6706877,0.6706877,0.5289719,0.5289719,0.5694374,0.5694374,0.77833784,0.7783378,0.48267734,0.48267734,0.5899239,0.5899239,0.9212988,0.9212988,0.8872848,0.8872848,0.7575661,0.7575661,0.73118204,0.73118204,0.7125541,0.7125541,0.66409653,0.66409653,0.7588277,0.7588277,0.87056845,0.87056845,0.6579474,0.6579474,0.7000898,0.7000898,0.8498564,0.8498564,0.6752919,0.6752919,0.6354017,0.6354017,0.48363227,0.48363227,0.77420676,0.77420676,0.5031959,0.5031959,0.7815848,0.7815848,0.70663655,0.70663655,0.50012374,0.50012374
id_14_8_RGB_mock_frame_00_00_01.png,0.70633215,0.70633215,0.52918184,0.52918184,0.68208176,0.68208176,0.5440682,0.5440682,0.17745388,0.17745388,0.668107,0.668107,0.62346315,0.62346315,0.62997955,0.62997955,0.656636,0.65663594,0.6548536,0.6548536,0.750276,0.750276,0.84895766,0.84895766,0.8578307,0.8578307,0.81870896,0.81870896,0.8457205,0.8457205,0.6841011,0.6841011,0.79562086,0.79562086,0.7975773,0.79757726,0.88776964,0.88776964,0.7469276,0.7469276,0.7372793,0.7372793,0.7805492,0.7805492,0.7202243,0.7202243,0.679088,0.679088,0.6499826,0.6499826,0.73747855,0.73747855,0.6325519,0.6325519,0.7079813,0.7079813,0.7196084,0.7196084,0.42639494,0.42639494
id_14_8_RGB_mock_frame_00_00_01.png,0.70633215,0.70633215,0.52918184,0.52918184,0.68208176,0.68208176,0.5440682,0.5440682,0.17745388,0.17745388,0.668107,0.668107,0.62346315,0.62346315,0.62997955,0.62997955,0.656636,0.65663594,0.6548536,0.6548536,0.750276,0.750276,0.84895766,0.84895766,0.8578307,0.8578307,0.81870896,0.81870896,0.8457205,0.8457205,0.6841011,0.6841011,0.79562086,0.79562086,0.7975773,0.79757726,0.88776964,0.88776964,0.7469276,0.7469276,0.7372793,0.7372793,0.7805492,0.7805492,0.7202243,0.7202243,0.679088,0.679088,0.6499826,0.6499826,0.73747855,0.73747855,0.6325519,0.6325519,0.7079813,0.7079813,0.7196084,0.7196084,0.42639494,0.42639494
